delta,N,majorant
0.1,3.0,99.43895572524835
0.1,3.0861828448117774,99.410758129613
0.1,3.174841517203505,99.38192461446012
0.1,3.266047141796551,99.35245900244135
0.1,3.359872886453018,99.32236509967213
0.1,3.4563940209731774,99.29164669579475
0.1,3.5556879774791397,99.26030756404099
0.1,3.657834412533203,99.22835146129468
0.1,3.762915271040712,99.19578212815397
0.1,3.8710148519887015,99.16260328899341
0.1,3.982219876073044,99.12881865202584
0.1,4.0966195552683695,99.0944319093639
0.1,4.214305664396565,99.0594467370816
0.1,4.335372614751259,99.02386679527535
0.1,4.459917529837372,98.98769572812503
0.1,4.588040323286472,98.95093716395476
0.1,4.719843779010464,98.91359471529334
0.1,4.855433633657895,98.87567197893463
0.1,4.994918661439035,98.83717253599777
0.1,5.138410761387786,98.79809995198679
0.1,5.286025047130402,98.7584577768506
0.1,5.437879939233073,98.71824954504231
0.1,5.594097260202407,98.67747877557844
0.1,5.754802332215077,98.63614897209807
0.1,5.920124077654993,98.5942636229216
0.1,6.0901951225386615,98.55182620110945
0.1,6.265151902911725,98.50884016452035
0.1,6.4451347743020095,98.46530895586973
0.1,6.630288124316896,98.42123600278752
0.1,6.820760488475353,98.3766247178761
0.1,7.016704669367545,98.33147849876778
0.1,7.218277859237605,98.28580072818225
0.1,7.425641766087926,98.23959477398374
0.1,7.638962743406129,98.19286398923796
0.1,7.85841192361877,98.14561171226889
0.1,8.084165355378856,98.09784126671538
0.1,8.31640414479731,98.04955596158743
0.1,8.555314600731673,98.00075909132242
0.1,8.801088384248603,97.95145393584109
0.1,9.05392266238008,97.90164376060322
0.1,9.314020266296659,97.85133181666323
0.1,9.581589854024656,97.8005213407256
0.1,9.856846077837826,97.74921555519994
0.1,10.140009756457783,97.69741766825605
0.1,10.431308052201352,97.64513087387859
0.1,10.730974653216924,97.59235835192173
0.1,11.039249960956028,97.5391032681636
0.1,11.35638128303053,97.48536877436023
0.1,11.682623031610127,97.43115800829983
0.1,12.018236927519377,97.37647409385642
0.1,12.363492210197903,97.32132014104346
0.1,12.71866585369227,97.26569924606731
0.1,13.084042788852807,97.20961449138038
0.1,13.459916131913593,97.15306894573429
0.1,13.846587419639008,97.09606566423251
0.1,14.244366851225493,97.03860768838325
