k,n,value
0,0,0.80000000000000004
0,1,0.29999999999999999
0,2,0.13400000000000001
0,3,0.064199999999999993
0,4,0.031579999999999997
0,5,0.015689999999999999
0,6,0.0078253999999999997
0,7,0.0039088200000000003
0,8,0.0019536380000000002
1,0,0.5
1,1,0.16600000000000001
1,2,0.069800000000000001
1,3,0.032620000000000003
1,4,0.015890000000000001
1,5,0.0078645999999999994
1,6,0.0039165800000000002
1,7,0.0019551820000000002
1,8,0.0009769729999999999
2,0,0.33400000000000002
2,1,0.096199999999999994
2,2,0.037179999999999998
2,3,0.016729999999999998
2,4,0.0080254000000000002
2,5,0.00394802
2,6,0.001961398
2,7,0.00097820900000000007
2,8,0.00048860973999999995
3,0,0.23780000000000001
3,1,0.059020000000000003
3,2,0.020449999999999999
3,3,0.0087045999999999998
3,4,0.0040773800000000002
3,5,0.001986622
3,6,0.00098318899999999998
3,7,0.00048959926
3,8,0.00024440349799999999
4,0,0.17877999999999999
4,1,0.03857
4,2,0.0117454
4,3,0.0046272199999999996
4,4,0.0020907579999999999
4,5,0.001003433
4,6,0.00049358973999999998
4,7,0.00024519576200000002
4,8,0.0001222806838
5,0,0.14021
5,1,0.026824600000000001
5,2,0.00711818
5,3,0.0025364620000000002
5,4,0.0010873250000000001
5,5,0.00050984326
5,6,0.00024839397800000001
5,7,0.00012291507819999999
5,8,6.1203518899999998e-05
6,0,0.1133854
6,1,0.019706419999999999
6,2,0.0045817180000000002
6,3,0.0014491370000000001
6,4,0.00057748173999999999
6,5,0.00026144928199999998
6,6,0.00012547889979999999
6,7,6.1711559299999996e-05
6,8,3.0652327293999998e-05
7,0,0.093678979999999995
7,1,0.015124702
7,2,0.0031325810000000002
7,3,0.00087165525999999998
7,4,0.00031603245800000001
7,5,0.00013597038219999999
7,6,6.3767340499999996e-05
7,7,3.1059232005999998e-05
7,8,1.5366641541800002e-05
8,0,0.078554278000000005
8,1,0.011992121
8,2,0.0022609257400000001
8,3,0.00055562280200000002
8,4,0.0001800620758
8,5,7.2203041700000007e-05
8,6,3.2708108493999997e-05
8,7,1.56925904642e-05
8,8,7.71572434438e-06
